GameUID,TeamID,EndID,PowerPlay,Has_Hammer,Result,CumulativeScore,OpponentID,OpponentCumulative,ScoreDiff,PrevScoreDiff,Tendency_PP_Right,Tendency_PP_Left,BurialDepth,GuardAngle,ClusterIndex,SideOpenness,PP_NONE,PP_LEFT,PP_RIGHT
0_10_1,20,1,0.0,0,1,1,22,0,1,0.0,0.5483870967741935,0.45161290322580644,66.48308055437865,1.5707963705062866,0.46571428571428564,-1.0,1.0,0.0,0.0
0_10_1,20,2,0.0,0,0,1,22,3,-2,1.0,0.5483870967741935,0.45161290322580644,98.61547438105856,0.24673106670379638,0.3676190476190476,-2.0,1.0,0.0,0.0
0_10_1,20,3,0.0,1,3,4,22,3,1,-2.0,0.5483870967741935,0.45161290322580644,50.7189764829288,0.15439913272857667,0.5133333333333333,-0.2,1.0,0.0,0.0
0_10_1,20,4,0.0,0,0,4,22,7,-3,1.0,0.5483870967741935,0.45161290322580644,88.96040450945385,1.5707963705062866,0.6992857142857143,-0.2,1.0,0.0,0.0
0_10_1,20,5,0.0,1,3,7,22,7,0,-3.0,0.5483870967741935,0.45161290322580644,52.25887433657756,-1.524201011657715,0.5333333333333333,0.0,1.0,0.0,0.0
0_10_1,20,6,0.0,0,0,7,22,7,0,0.0,0.5483870967741935,0.45161290322580644,328.2192497641587,0.9544393062591553,0.2,-0.6,1.0,0.0,0.0
0_10_1,20,7,2.0,1,1,8,22,7,1,0.0,0.5483870967741935,0.45161290322580644,330.53495282465263,-0.053323221206665036,0.04,-1.8,0.0,1.0,0.0
0_10_1,20,8,0.0,0,0,8,22,10,-2,1.0,0.5483870967741935,0.45161290322580644,74.49874953832962,1.5707963705062866,0.6254761904761905,0.6,1.0,0.0,0.0
0_10_1,22,1,0.0,1,0,0,20,1,-1,0.0,0.425,0.575,66.48308055437865,1.5707963705062866,0.4583333333333333,-1.4,1.0,0.0,0.0
0_10_1,22,2,0.0,1,3,3,20,1,2,-1.0,0.425,0.575,91.45141097231752,0.23010625839233398,0.3238095238095238,-2.2,1.0,0.0,0.0
0_10_1,22,3,0.0,0,0,3,20,4,-1,2.0,0.425,0.575,51.36783129016957,-0.4146102428436279,0.6104761904761904,-0.6,1.0,0.0,0.0
0_10_1,22,4,0.0,1,4,7,20,4,3,-1.0,0.425,0.575,97.1145475113113,1.5707963705062866,0.6576190476190475,0.0,1.0,0.0,0.0
