CompetitionID,SessionID,GameID,EndID,ShotID,TeamID,PlayerID,Task,Handle,Points,TimeOut,stone_1_x,stone_1_y,stone_2_x,stone_2_y,stone_3_x,stone_3_y,stone_4_x,stone_4_y,stone_5_x,stone_5_y,stone_6_x,stone_6_y,stone_7_x,stone_7_y,stone_8_x,stone_8_y,stone_9_x,stone_9_y,stone_10_x,stone_10_y,stone_11_x,stone_11_y,stone_12_x,stone_12_y
0,1,1,1,7,19,1,0,0,0,,750.0,1916.0,4095.0,4095.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1,1,8,27,1,0,1,2,,750.0,1916.0,4095.0,4095.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,650.0,892.0,1232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1,1,9,19,2,0,0,4,,750.0,1916.0,4095.0,4095.0,694.0,756.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,650.0,892.0,1232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1,1,16,27,2,0,0,0,,963.0,1657.0,4095.0,4095.0,694.0,756.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,650.0,892.0,1232.0,418.0,1608.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1,1,17,19,2,7,0,3,,963.0,1657.0,4095.0,4095.0,694.0,756.0,636.0,1080.0,0.0,0.0,0.0,0.0,750.0,650.0,4095.0,0.0,418.0,1608.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1,1,18,27,2,6,1,0,,963.0,1657.0,4095.0,4095.0,671.0,713.0,600.0,798.0,0.0,0.0,0.0,0.0,4095.0,0.0,4095.0,0.0,418.0,1608.0,590.0,1164.0,0.0,0.0,0.0,0.0
0,1,1,1,19,19,2,0,1,2,,963.0,1657.0,4095.0,4095.0,671.0,684.0,600.0,798.0,830.0,648.0,0.0,0.0,4095.0,0.0,4095.0,0.0,418.0,1608.0,590.0,1164.0,0.0,0.0,0.0,0.0
0,1,1,1,20,27,2,0,1,4,,963.0,1657.0,4095.0,4095.0,671.0,684.0,600.0,798.0,830.0,648.0,0.0,0.0,4095.0,0.0,4095.0,0.0,418.0,1608.0,590.0,1164.0,671.0,850.0,0.0,0.0
0,1,1,1,21,19,1,2,0,1,,963.0,1657.0,4095.0,4095.0,671.0,684.0,600.0,798.0,830.0,648.0,866.0,1628.0,4095.0,0.0,4095.0,0.0,418.0,1608.0,590.0,1164.0,671.0,850.0,0.0,0.0
0,1,1,1,22,27,1,0,0,0,,963.0,1657.0,4095.0,4095.0,671.0,684.0,600.0,798.0,830.0,648.0,866.0,1628.0,4095.0,0.0,4095.0,0.0,418.0,1608.0,590.0,1164.0,671.0,850.0,1031.0,496.0
0,1,1,2,7,27,1,0,0,4,,751.0,639.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,1916.0,712.0,727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1,2,8,19,1,0,0,2,,754.0,623.0,593.0,743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,1916.0,719.0,723.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1,2,9,27,2,0,0,4,,754.0,623.0,593.0,743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,1916.0,719.0,723.0,700.0,944.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1,2,16,19,2,6,0,0,,754.0,623.0,593.0,743.0,4095.0,4095.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,1916.0,719.0,723.0,1082.0,432.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1,2,17,27,2,0,0,4,,754.0,623.0,593.0,743.0,4095.0,4095.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,1916.0,719.0,723.0,1082.0,432.0,700.0,863.0,0.0,0.0,0.0,0.0
0,1,1,2,18,19,2,9,0,0,,754.0,623.0,4095.0,0.0,4095.0,4095.0,310.0,688.0,0.0,0.0,0.0,0.0,750.0,1916.0,719.0,723.0,1082.0,432.0,700.0,863.0,0.0,0.0,0.0,0.0
0,1,1,2,19,27,2,0,0,4,,754.0,623.0,4095.0,0.0,4095.0,4095.0,310.0,688.0,0.0,0.0,0.0,0.0,750.0,1916.0,719.0,723.0,1082.0,432.0,702.0,853.0,673.0,944.0,0.0,0.0
0,1,1,2,20,19,2,9,0,4,,4095.0,0.0,4095.0,0.0,4095.0,4095.0,310.0,688.0,4095.0,4095.0,0.0,0.0,750.0,1916.0,4095.0,0.0,1082.0,432.0,4095.0,0.0,580.0,905.0,0.0,0.0
0,1,1,2,21,27,1,2,0,0,,4095.0,0.0,4095.0,0.0,4095.0,4095.0,310.0,688.0,4095.0,4095.0,0.0,0.0,750.0,1916.0,4095.0,0.0,1082.0,432.0,4095.0,0.0,580.0,905.0,719.0,1440.0
0,1,1,2,22,19,1,6,0,4,,4095.0,0.0,4095.0,0.0,4095.0,4095.0,310.0,688.0,4095.0,4095.0,593.0,989.0,750.0,1916.0,4095.0,0.0,1082.0,432.0,4095.0,0.0,4095.0,0.0,719.0,1440.0
0,1,1,3,7,19,1,0,0,0,,750.0,1916.0,657.0,1832.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1,3,8,27,1,0,1,3,,750.0,1916.0,657.0,1832.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,650.0,885.0,1109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1,3,9,19,2,0,0,4,,750.0,1916.0,657.0,1832.0,658.0,863.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,650.0,885.0,1109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1,3,16,27,2,0,0,4,,750.0,1916.0,657.0,1832.0,628.0,674.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,650.0,885.0,1109.0,679.0,943.0,0.0,0.0,0.0,0.0,0.0,0.0
