CompetitionID,SessionID,GameID,TeamID,EndID,Result,PowerPlay
0,1,1,19,1,0,
0,1,1,27,1,1,
0,1,1,19,2,2,
0,1,1,27,2,0,
0,1,1,19,3,0,
0,1,1,27,3,3,
0,1,1,19,4,1,
0,1,1,27,4,0,
0,1,1,19,5,2,
0,1,1,27,5,0,
0,1,1,19,6,0,
0,1,1,27,6,1,1.0
0,1,1,19,7,0,1.0
0,1,1,27,7,3,
0,1,1,19,8,0,
0,1,1,27,8,1,
0,1,2,20,1,0,
0,1,2,46,1,1,
0,1,2,20,2,1,
0,1,2,46,2,0,
0,1,2,20,3,0,
0,1,2,46,3,1,
0,1,2,20,4,1,
0,1,2,46,4,0,
0,1,2,20,5,1,
0,1,2,46,5,0,
0,1,2,20,6,0,
0,1,2,46,6,3,2.0
0,1,2,20,7,2,2.0
0,1,2,46,7,0,
0,1,2,20,8,1,
0,1,2,46,8,0,
0,1,3,17,1,1,
0,1,3,22,1,0,
0,1,3,17,2,1,
0,1,3,22,2,0,
0,1,3,17,3,0,
0,1,3,22,3,2,
0,1,3,17,4,1,
0,1,3,22,4,0,
0,1,3,17,5,0,
0,1,3,22,5,1,
0,1,3,17,6,2,1.0
0,1,3,22,6,0,
0,1,3,17,7,1,
0,1,3,22,7,0,1.0
0,1,3,17,8,0,
0,1,3,22,8,3,
0,1,3,17,9,0,
0,1,3,22,9,1,
0,1,4,18,1,0,
0,1,4,43,1,1,
0,1,4,18,2,0,
0,1,4,43,2,1,
0,1,4,18,3,0,
0,1,4,43,3,1,
0,1,4,18,4,2,
0,1,4,43,4,0,
0,1,4,18,5,0,
0,1,4,43,5,1,
0,1,4,18,6,3,1.0
0,1,4,43,6,0,
0,1,4,18,7,0,
0,1,4,43,7,2,2.0
0,1,4,18,8,1,
0,1,4,43,8,0,
0,1,4,18,9,0,
0,1,4,43,9,1,
0,2,1,43,1,1,
0,2,1,46,1,0,
0,2,1,43,2,0,
0,2,1,46,2,1,
0,2,1,43,3,2,
0,2,1,46,3,0,
0,2,1,43,4,0,
0,2,1,46,4,0,
0,2,1,43,5,1,
0,2,1,46,5,0,
0,2,1,43,6,0,
0,2,1,46,6,3,1.0
0,2,1,43,7,2,1.0
0,2,1,46,7,0,
0,2,1,43,8,0,
0,2,1,46,8,1,
0,2,2,19,1,1,
0,2,2,22,1,0,
0,2,2,19,2,0,
0,2,2,22,2,1,
0,2,2,19,3,0,
0,2,2,22,3,1,
0,2,2,19,4,1,
0,2,2,22,4,0,
0,2,2,19,5,1,
0,2,2,22,5,0,
0,2,2,19,6,0,
0,2,2,22,6,2,2.0
0,2,2,19,7,2,2.0
0,2,2,22,7,0,
0,2,2,19,8,2,
0,2,2,22,8,0,
