CompetitionID,SessionID,GameID,TeamID,EndID,Result,PowerPlay,GameUID,EndUID,NOC1,NOC2,TeamID1,TeamID2,LSFE,OpponentNOC,Has_Hammer,PP_Right,PP_Left,BurialDepth,GuardAngle,ClusterIndex,SideOpenness
0,7,2,18,7,9,0.0,0_7_2,0_7_2_18_7,SUI,SWE,18,19,0,SWE,1,0.5675675675675675,0.43243243243243246,53.23344695395535,-1.2468273401260377,0.5390476190476191,0.4
0,7,2,19,7,9,0.0,0_7_2,0_7_2_19_7,SUI,SWE,18,19,0,SUI,0,0.37142857142857144,0.6285714285714286,58.81505209745594,-1.5585477113723756,0.6666666666666666,0.8
0,8,1,20,8,9,0.0,0_8_1,0_8_1_20_8,CHN,USA,43,20,0,CHN,0,0.6363636363636364,0.36363636363636365,28.95379081728794,-1.4808013677597045,0.6723809523809524,-2.2
0,8,1,43,8,9,0.0,0_8_1,0_8_1_43_8,CHN,USA,43,20,0,USA,1,0.425,0.575,23.293402138053978,-1.1666420936584472,0.55,-1.6
0,8,3,10,7,9,0.0,0_8_3,0_8_3_10_7,SWE,CAN,19,10,0,SWE,1,0.5675675675675675,0.43243243243243246,35.35231601379061,1.2593228101730347,0.5888888888888889,-0.4
0,8,3,19,7,9,0.0,0_8_3,0_8_3_19_7,SWE,CAN,19,10,0,CAN,0,0.5897435897435898,0.41025641025641024,48.22626515488311,1.5743773221969604,0.7117460317460317,-0.6
0,8,4,24,8,9,0.0,0_8_4,0_8_4_24_8,AUS,ITA,46,24,0,AUS,0,0.5757575757575758,0.42424242424242425,62.47992629465347,-1.2236703157424926,0.540952380952381,-0.4
0,8,4,46,8,9,0.0,0_8_4,0_8_4_46_8,AUS,ITA,46,24,0,ITA,1,0.6410256410256411,0.358974358974359,34.830694840596735,-0.9095110416412353,0.39761904761904765,-0.4
0,9,2,17,8,9,0.0,0_9_2,0_9_2_17_8,NOR,CHN,17,43,0,CHN,1,0.6363636363636364,0.36363636363636365,4.079215610874227,-1.3701546669006348,0.6033333333333333,0.2
0,9,2,43,8,9,0.0,0_9_2,0_9_2_43_8,NOR,CHN,17,43,0,NOR,0,0.5609756097560976,0.43902439024390244,13.666956193096567,-1.3417752742767335,0.5933333333333334,0.6
0,11,1,17,8,9,0.0,0_11_1,0_11_1_17_8,NOR,SWE,17,19,1,SWE,0,0.5675675675675675,0.43243243243243246,71.11258679024411,-0.5848011016845703,0.5733333333333334,-0.4
0,11,1,19,8,9,0.0,0_11_1,0_11_1_19_8,NOR,SWE,17,19,1,NOR,1,0.5609756097560976,0.43902439024390244,56.89006943219529,-0.180427885055542,0.5166666666666667,-0.6
0,12,4,17,8,9,0.0,0_12_4,0_12_4_17_8,NOR,GBR,17,27,0,GBR,0,0.4444444444444444,0.5555555555555556,59.804588159783066,1.2566370964050293,0.5133333333333333,0.8
0,12,4,27,8,9,0.0,0_12_4,0_12_4_27_8,NOR,GBR,17,27,0,NOR,1,0.5609756097560976,0.43902439024390244,42.998909268401704,0.942477822303772,0.4166666666666667,0.0
22230015,1,4,22,8,9,0.0,22230015_1_4,22230015_1_4_22_8,ITA,CZE,24,22,1,ITA,1,0.6410256410256411,0.358974358974359,60.95261038286064,1.2541236400604248,0.5373015873015874,2.0
22230015,1,4,24,8,9,0.0,22230015_1_4,22230015_1_4_24_8,ITA,CZE,24,22,1,CZE,0,0.5483870967741935,0.45161290322580644,74.13745016194025,1.568282914161682,0.6723015873015873,3.0
22230015,4,1,17,8,9,0.0,22230015_4_1,22230015_4_1_17_8,NOR,TUR,17,51,0,TUR,1,0.5454545454545454,0.45454545454545453,41.02109193267014,-0.48372271060943606,0.61,0.6
